lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,77.5,183,0,0,1.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,10,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,8,0,0,0,0,0,0,1.5,0,0,0,0,0,0,22.6,6.5,4.4,0,0,9.7,0,0,0,0,0,0,14,7.9,3.2,6.1,0,0,0,0,0,0,0,6.4,0,0,2.9,1.3,0,1,0,0,0,4.8,9.6,4.3,0,0,0,0,1.7,9.6,0,0,0,0,5.6,0,0.6,10.6,9.3,0,12.2,8.8,2.5,2.3,0,0,0,1,0,3,11.6,14.3,0,0,14.1,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,2.8,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.6,0.9,0.6,1.1,0.4,0.4,0,0,0,0.1,0.2,2.5,0.1,0,0,0,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,4.7,35.6,20.9,22.2,5.9,0,0,0,0,0,0,0.2,0,0,0,0,0,0.3,5.7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.1,28.3,18.4,8.5,0,0,0,0,0,0,0,4.4,0,0,0,0,5.7,4.5,1.8,0.4,0.3,0,0,0,2.7,1.4,14.9,8.8,1.6,0,0,0,0,7.1,3.9,3,3.2,10,0,2.3,4,25.7,11.2,0.5,30.2,13.4,14.1,4.3,7.4,1,0,0,31.7,14.1,0,7.3,9.1,1.1,0,0,0,0,0.6,3.1,0,0,0.4,0,0,39.6,5.8,2.8,2.9,0,0,0,5.1,2.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0
10.5,77.5,184,0,0.3,12.5,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,27.8,0.2,5.6,18.7,0,0,0,0,0,0,0.4,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0.2,0,0,0,8.3,24.6,0,0,0,0,0,0,2.6,1.7,0,0,0.1,0,2.9,0,0.1,3.3,0,0.1,6.3,1.1,2.8,3.9,5.9,81.9,0.5,0.7,0,0.3,3.3,16.8,0,0.9,4.4,0,0,0,0,4.8,5.7,1.1,6.6,5.7,20.2,22.4,2.7,1.8,0.1,10.9,0,0,0,0,0,0,0,0,0,0,1.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2.8,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,13.5,0,3,0,1.7,1.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,4.7,1.6,1.4,0.5,0,0,0,0,0,0,0,0,0,0,1.9,0.6,0,0.7,4.5,0,0.1,0,0,0,2.5,0,1.3,3.2,0.3,0,0,0,0.6,0.6,1.9,0,0.7,0,2.1,2.4,1.4,7.2,0,1.3,0.7,10.3,2.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.4,2.8,11.3,0,0,1.2,0,4.9,0,0,0,0,0,0,0,0.6,3.7,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,77.5,185,0,6.2,8.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.1,0,0,0.2,0,0,0,0,0,0,0,0,12.6,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7.9,2.5,0,0,0,0,0,12.9,0,0,0,21.5,0,0.7,15.6,0,0,47.7,0,76.8,0,13.1,1,1.1,1,5.4,1.7,30,2.3,36.9,0,6.3,14.6,0,0.2,1,0,14.4,0,0,19,0,0,0,0,0,1.6,2,0,0,2.5,0,0,0,0,0,0,0,0,2.6,20.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,5,0,0,0.7,0,0,0,0,0,0,0,3.5,5.7,0,0,0,0,1.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.6,12.3,1.4,7.9,27,5.8,4.7,8.9,4.1,2.7,0,0,0,0,0,2.7,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,11.1,62.9,0,5.9,0,0,0,0,0,0,0,0.5,1.1,0,0,0,10.4,0,23.9,14.9,2.3,0.7,0,0,12.5,0,2.4,0.5,4.7,1.7,0,0.8,0,0,0,1,0,0,0.8,6.6,6.4,4.4,15.9,15.5,0,23.9,0,0,0,0,0,39.3,7.8,1.3,0,0,0,5.9,0,0,0.7,0,0,3.5,50.6,10.4,4.3,0,0,0,11.3,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,77.5,186,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.8,1.2,4.4,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,5.4,0.2,0,0,0,0,0,0,0,0,0,0,0.6,4.9,0,0,3,2.4,0,0,0,0,0,4.9,8.9,0,0,0.4,2,0,0,7.1,0,0,0,0,0,0,14.2,0,18.5,0.4,0,0.4,2.2,14.8,24.1,7,12.9,2.9,0.5,6.7,7.2,0,5.4,0,0,19.3,0,19.7,0,11.1,1.2,0.4,0,0.3,3.7,18.3,0,0,0,0,0,0,0,1.4,44.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1,0.1,2.2,3.7,4.8,2.3,7.7,0,1.2,0.2,0,0.4,3.8,4.4,0,5.2,0,10.6,0.3,1.1,8.1,0,0,0,0,0,0,0,1.8,0.7,0,1.9,0,0,0,3.3,34.1,15.5,18,7.5,0,0,11.7,0,0,0,1.1,9,1.1,0,7.4,6.4,2,7.5,14.8,5.5,1.1,1.9,1.8,0,0.2,4.4,0,0,0,0,0,0,0.9,0,20.8,0.1,0,0,0,0,0,0,0,0.7,6.2,6.8,39.8,3.7,45.7,7.3,4.2,0,0,0,0,0,3,0,0,0,11.7,43.1,8,4.9,38.2,21.3,13,0,0,27.9,1.1,0,2.5,1.9,14,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,37.4,42.5,0,0.3,0,0,0,0,0,0,0,0,0.5,0.6,0.2,0,0,0,0,0,0,0,0,0,0.5,0,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,77.5,187,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.2,16.3,0,0,6.5,0.7,0.5,0.7,0,0,1,0,7.6,0.5,3.8,0,0,1.6,0,0,0.5,22.6,0,0,2.3,2.8,10.3,0,0,0,0,0,8,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0.2,1.1,6.8,1.9,5.8,2.4,3.5,0,2,1.6,20.9,0,0,0,0,0,0,3.6,0.2,0,0,1.3,0,0,2.3,0,0,0,0,0.2,0,0,0,0,0,0,0,5.8,0.2,1.9,0,0.2,0,1,0,0,3.3,0,0,0,0,2.6,0.8,0.3,0,0,0,0,0.1,0,0,0,0,0.9,0,0,0,0,0,1.6,2.6,0,15.9,0.4,29.8,2.5,9.9,0.8,0.2,0.5,0,0.6,0,4.1,0.9,0,0.7,0.9,0.6,2.3,0.5,2.1,3.6,0.5,0.7,2,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0.3,3.2,0,0,1.6,0,6.9,0,27,0,21.9,1.4,35,0,0,0,0,0,0,0,0,0,0,0,64.5,21.2,0,0,17.7,60.3,7.2,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,14.7,18,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,77.5,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,6.8,0,0,0,0,0,0.3,1.6,4.2,0,0,0,0,0,0,0,1.3,1.6,0,0.8,3.5,5.6,0.4,1.2,0,5.6,0.3,0,0,0.4,3.4,0,2.1,0,6.2,0,0,0,0,0,0.1,20.7,0.7,5.3,3,5.3,4.5,0,1.8,35.8,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.2,0,1.9,0.9,5.1,0,0,11,0.7,0.3,0,0,0.1,0,0,0.3,0,0.4,0,1.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.6,4.8,4.2,9.1,2.8,1.4,0.4,0.5,0,2.1,2.8,10.9,0.2,0,0.1,1.9,6.3,17.5,10.8,0,0.4,0.2,2.4,0,0,0,1.1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,40,4.5,14.4,10.5,38.9,1.1,3.3,0,0,0,0,0,1.7,2,8.4,0,4.2,0,0,0,4.9,50.8,0.2,0,0,0,0.1,0.7,0,1.2,2,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,9,14,1.6,0.4,0.3,0,0,0,0,0,0,0,0.9,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
15.5,77.5,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,11.8,0,0,0,0,0,3.3,0,0,0,0,0,0,0,4.1,2.6,8.8,0,0,37.1,0,0,0,0,0,0,1.4,12.5,0,0,0.3,0,0,0,0,0,18.7,0,0,0,5.3,0.7,0,0,0,0.6,0,0,0,0,0,0,0.7,4.1,0,0,0,0,0,0,0,2.9,0.4,0.4,0,1.1,0,0,18.6,0,1.4,0,0,0,0.8,0,15.9,0,0,0,0,0,0,0,1.8,0.3,0,0,0,0,0,0,0,0,0,2.8,0,0.7,0,0.1,2.4,6.4,2.9,0,13.1,19.3,2.4,0,0,0,0,1.6,2.6,0.6,0.3,0,0.3,0,0,2.7,6.2,0,0,0,0.7,0,0,0.9,1.1,0,0,0,1.3,0.3,8.1,2.8,8.7,6.2,0,0.5,0.3,0.6,7.6,19.4,18.2,0.5,2.3,0,10.5,0.4,6.5,41.6,0,0,1.1,24.3,56.2,6,0,0,0,0,0,0,0,0,1.1,0,0,1.1,0,0,0,0,0.9,0,4.1,6.1,1.2,6.5,29.2,60.2,0,0,1.7,0,0,2.2,0,2.7,11.4,0,14.8,0.2,0.1,0,0.9,18.9,0.7,0,0,0,0,1.4,0,0,0.7,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,6.7,5,56.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,77.5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,13.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.2,0,0,0,27.4,22.7,27.6,10.2,7.5,0,0,27.5,0.1,0,0,0,0,10.1,28.8,0.2,0,6.3,0,0,0,10,0,0,0,0,0,10.1,0,0,0,11.2,0,6.3,0,0,28.7,0.3,26.3,17.5,0,0,0,0,2.5,0.3,2.5,2.6,9.1,0.2,0.3,35.2,0.2,0,0,0,18.9,6.3,10.1,0,5.1,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,2.7,0.3,0,0.6,0.2,0,20.2,13.5,0,0,0,0,7.5,0.1,1.3,0,0,0,7.5,0,7.5,2.6,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,2.5,0.2,0.3,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,77.5,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1,0,0,0,0,0,8.8,0,0,0,0,0,0,0.7,0,0.1,0.5,0,6,0,0,0,0,0,0,0,6.6,0.2,0,0.4,0,0,0,0,0,0,6.7,1.1,0,0,0,0,0,0,0,0,0,0,0,3.3,0,2.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.2,0,0.4,0,0,8.3,6.2,0.2,9.9,0.5,0,0,0,35,17.4,0.5,15.2,55.5,2.6,8.8,8.6,21,0.8,0.3,0.3,0.2,22,7.8,6.5,0.7,0.5,0.9,0.4,0.9,1.9,0.5,9.1,0,0,0.3,0.5,0.3,0,0.4,0.6,0,14.5,0,0,1.4,0.5,5,10.9,0,0.8,1.3,1.6,1,17.7,0.7,4,18.5,55.8,0.8,6.2,7.6,25.4,22.4,37.5,111.8,16.7,6.8,9.3,15.7,10.4,0.3,2.3,0.3,0,0,13.7,0,0.2,0,15.4,1,0,0,0,5.7,0,0.7,0,0.3,1.3,1.2,0,0,5.1,13.3,3.9,0.2,17.2,10.9,0,0,8.3,44.8,7.3,0,0.7,0,0,5.2,0.5,0,0,0,86.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0.6,0.4,0,0.2,23.3,0.1,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,77.5,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,61.1,0,0,0.1,0.7,0,0.4,0.8,0,0,0.4,1.1,5.1,6.7,0,0,0,0,0,1.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,48.6,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0,0,6.3,1.7,0,0,14.4,0,0,52.2,0,0.2,12.3,0.2,8.9,0,31.6,6.3,0.8,6.1,5.7,1.1,3.5,36.1,4.9,49.2,10.4,18.9,4.1,15.1,0.3,1,6.1,4.2,9.6,2.4,2.9,2,0.7,0.6,1.2,0,0.1,25.3,36.9,24.8,1.9,7.1,0,12.9,18.5,64,19.6,25.4,1.7,0,0,23.6,23.3,6.6,8.5,15,3,6,39.2,35.4,3.6,26.4,20.8,17.2,32.9,105.3,43.4,0.8,1.3,10.4,16.3,2.6,5.3,1.8,10.7,0.9,2,0.3,0,0,0.7,0.4,0,0,2.1,4.2,14.8,79.6,11.6,19.8,0,0,0,0,0,0,0.1,0.6,2.3,1.6,10.5,4.4,0.1,0.5,0.3,1.5,0,0,0.1,0.3,0,0,0.2,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.6,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,77.5,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,3,0,0,0,4.7,0,0.3,0,3.1,0,0,0,0,0,0,0,0.7,3.3,3,1.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,2.4,0,3.4,0.7,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.6,0,0,0,0,0.8,7.8,9.6,4.5,23.7,3.3,7.9,1.1,27.6,5.5,0.5,7.4,6.7,16.2,39.3,4.7,41.8,31.6,131.9,14.1,40.5,18.7,14.6,10,6.3,3,1.1,15,5.4,15.7,19.4,56.1,14.9,1.3,4.5,2.6,0,0,0,3.2,0.6,3.5,4.5,8.9,6,5.9,10.3,9.5,0,0.3,4.9,6.5,12.4,1.7,0.6,0,0,16.9,71.8,11.7,1.6,2.1,55.1,19.4,0,2.7,14,3.3,0.5,35.6,35.5,10.8,20.4,93.7,15.9,106.8,136.2,6.5,0,0,0.4,1.7,1.7,0,0,2.6,0.1,0,1.3,0,7.2,0,0,0,0,0,0,0,0,0.2,0.3,0.4,0,0,3.8,0.2,0,0,2.6,0.2,1.9,0,0,3.3,0.3,1.1,16.2,0,1.5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,8,3,44.2,0.2,15.7,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,77.5,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0,4.3,6.5,9.6,24.3,1.2,3.6,0,4.8,32.3,1.7,11.3,1.5,25.3,0,2.1,50,1.2,82.6,17.6,0.8,4.2,7.3,3.4,5.6,9.2,0.4,1.4,1.5,2.2,5.2,21.1,7.8,1,2.5,0,0,0.7,0,0.3,0.7,2.5,0,0,0,0.8,3.4,3.4,26.4,0.8,15.6,3.2,4,21.1,0.4,0,0,27.7,4.1,32,7,12.3,5.5,2.5,2.5,6.7,17.3,0.5,0,1.7,26.9,0,8.2,1.2,4.2,18.2,79.1,12.9,2.6,1.1,0,0,0,0,2.9,2,5.8,0,0.4,1.5,0.9,0,0,0,0,0,0,4.6,2.7,12.8,4.2,0.4,0,0.1,0.4,0,0,0,0,0,0,0,0,0.4,1.7,2.8,5.5,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,3.6,66.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,77.5,195,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,7.4,0.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0,0,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.4,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,1.3,0.3,0,0,18,12,15.2,1.1,0,0,0,14.6,7.5,19.4,8.3,11,1.1,4.1,9.9,35.4,2,7.6,0,7.3,21.5,7.7,5.9,2,1.4,8.4,2.4,0.3,1.9,17.7,9.4,9.5,10.7,0,2.5,15.9,5.1,7.8,4.7,12,2.1,0.4,0.2,0,12.3,8.4,13.9,11.9,8.2,2,8.1,5.5,4.6,8.3,15.7,7.9,12.3,2,7.8,5,6.8,14.5,0.9,26.8,4,0,11,1.9,2.2,0.9,4,8.4,1.2,0.3,49.5,9.2,1.9,0,1.8,1.4,0.5,2.1,2.1,40.2,47.4,2.9,0.8,0.3,0,0.3,0,2.3,0,8.4,0,1.4,17.7,21.6,43.3,3.2,0,0.8,5.1,0,0,0,0,0,0,0,0,0,0,1,29.4,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,13.4,0,0.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,77.5,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0.1,0.7,0,0,0,0,0,0,0.3,3.6,0.2,0,0,0,0,0.9,15.3,0,24.5,0,0.4,0,0,0,0.1,0,0,68.6,12.2,2.3,23.1,8.4,0,0,3.8,0,4.9,16.1,16.8,0.2,35,0,0.9,20.5,5.7,2.6,0.6,98.2,11.1,0.8,0.2,0,19.1,14.9,5.5,0,5.8,0,0,7.3,0,0.1,1,24.5,0.9,17.6,10.6,0.5,36.9,34.2,0.2,5.7,0,0.2,4.4,0,1.2,10.1,0.5,1.3,0,12.4,8.9,14.9,0.2,0,7.4,0,0,0.2,25.3,99.7,89.1,8.6,3.6,2.5,0,0,0,17.2,0.2,0,0,0,0.2,35.1,32.5,9.4,0,0,0.4,0,0,0,0,0,0,0,9.6,0.2,0,0,34.9,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
